,goto,lats,lons,severity,time
2297,True,53.81816124355131,-1.518817369671669,2,17392
2301,False,53.79887168988082,-1.4495336119178408,2,17398
2298,True,53.78128971111303,-1.6353951934398239,5,17400
2299,False,53.78128971111303,-1.6353951934398239,5,17400
2300,False,53.78128971111303,-1.6353951934398239,5,17400
2302,False,53.77830593371805,-1.5856325911559725,2,17400
2303,True,53.80812055691764,-1.4534974521934019,2,17409
2309,True,53.78913963779019,-1.417603328293582,4,17410
2305,False,53.827405995781554,-1.6626758969696247,3,17413
2306,False,53.827405995781554,-1.6626758969696247,3,17413
2304,False,53.827405995781554,-1.6626758969696247,3,17413
2308,False,53.80098825260147,-1.4976513670459155,3,17439
2310,True,53.794913157217394,-1.5771347707923895,4,17439
2312,False,53.74576734414719,-1.3687558089136003,3,17441
2311,True,53.941687786606174,-1.366838907227494,4,17441
2314,False,53.84037800942621,-1.4613146450214054,3,17452
2313,True,53.84037800942621,-1.4613146450214054,3,17452
2315,True,53.768062937524505,-1.5613079159500267,3,17457
2316,False,53.768062937524505,-1.5613079159500267,3,17457
2317,True,53.757209858497724,-1.5700055866570066,3,17458
2307,False,53.81522726636285,-1.5454909893300517,3,17461
2319,False,53.74803493262573,-1.5414091196225275,2,17465
2318,True,53.74803493262573,-1.5414091196225275,4,17465
2342,False,53.87307190496851,-1.7065214597804075,2,17486
2320,True,53.78140782331913,-1.5606528433409732,4,17506
2321,False,53.78140782331913,-1.5606528433409732,4,17506
2322,False,53.78140782331913,-1.5606528433409732,4,17506
2323,False,53.7978027778881,-1.441895913757289,3,17509
2324,False,53.727025906783936,-1.4371343643165293,3,17509
2325,False,53.727025906783936,-1.4371343643165293,3,17509
2326,True,53.79404804392805,-1.5664260472171987,4,17509
2327,True,53.728445709279875,-1.4645342806236599,4,17512
2328,False,53.83137349736183,-1.3831958141826601,2,17589
2329,False,53.83137349736183,-1.3831958141826601,2,17589
2330,False,53.83137349736183,-1.3831958141826601,2,17589
2336,False,53.78478518067004,-1.5479750181663812,3,17590
2331,False,53.795501040358346,-1.5118049189000071,4,17593
2332,False,53.76176741394535,-1.570171421193818,3,17598
2333,False,53.790211138189804,-1.6492370892411754,2,17601
2335,False,53.79893135254435,-1.333676121927579,2,17603
2334,False,53.800690282346046,-1.5664486705193637,4,17608
2337,False,53.8113721955656,-1.4589983661397807,3,17630
2338,False,53.814739345608274,-1.5617170156610398,3,17636
2339,False,53.7727874986844,-1.516073998520073,3,17638
2341,False,53.90488028995776,-1.6922958301415596,2,17638
2340,False,53.8102053259471,-1.6509078598601508,2,17639
2343,False,53.8108238825582,-1.6264828240325604,2,17643
2344,False,53.794497668240645,-1.5422841726329415,3,17691
2345,False,53.80720604246126,-1.5350846928862258,3,17695
2346,False,53.721563055120356,-1.5432882054524562,3,17696
2347,False,53.93204540888562,-1.3827028644005008,2,17710
2348,False,53.80443415352192,-1.615333634143878,6,17721
2349,False,53.80983756910928,-1.4695877519008127,4,17737
2350,False,53.80983756910928,-1.4695877519008127,3,17737
2351,False,53.80720558144703,-1.5123219863076434,3,17739
2352,False,53.80720558144703,-1.5123219863076434,3,17739
